tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,study_site,age_years
MaddieTag,Maddie,Felis catus,1970-01-01 04:25:00,1970-01-01 08:09:00,False,4.0,Fixed,f,12.0,1,NZ,4.0
CarinaTag,Carina,Felis catus,1970-01-01 04:55:00,1970-01-01 17:45:00,True,4.0,Fixed,f,18.0,1,NZ,2.0
HappyFeetTag,HappyFeet,Felis catus,1970-01-01 08:48:00,1970-01-03 04:19:00,True,4.0,Fixed,m,10.0,1,NZ,4.0
ChilliTag,Chilli,Felis catus,1970-01-01 02:33:00,1970-01-02 20:31:00,True,4.0,Fixed,m,22.0,1,NZ,1.0
TinaTag,Tina,Felis catus,1970-01-01 02:38:00,1970-01-01 10:15:00,True,4.0,Fixed,f,5.0,1,NZ,4.0
CornflakeTag,Cornflake,Felis catus,1970-01-01 18:09:00,1970-01-01 18:59:00,True,4.0,Fixed,f,10.0,1,NZ,3.0
PharosTag,Pharos,Felis catus,1970-01-01 01:58:00,1970-01-03 03:36:00,True,4.0,Fixed,f,8.0,1,NZ,8.0
BaileeTag,Bailee,Felis catus,1970-01-01 01:59:00,1970-01-01 02:04:00,False,4.0,Fixed,m,2.0,1,NZ,8.0
ApplesTag,Apples,Felis catus,1970-01-01 02:33:00,1970-01-02 10:20:00,True,4.0,Fixed,f,10.0,1,NZ,10.0
HenryTag,Henry,Felis catus,1970-01-01 01:55:00,1970-01-02 05:11:00,True,4.0,Fixed,m,4.0,1,NZ,6.0
MarleyTag,Marley,Felis catus,1970-01-01 02:55:00,1970-01-02 08:22:00,True,4.0,Fixed,m,5.0,1,NZ,3.0
LunaTag,Luna,Felis catus,1970-01-01 02:09:00,1970-01-01 03:23:00,True,4.0,Fixed,f,8.0,1,NZ,2.0
MilkshakesTag,Milkshakes,Felis catus,1970-01-01 02:31:00,1970-01-02 00:30:00,True,4.0,Fixed,m,8.0,1,NZ,3.0
MidnightTag,Midnight,Felis catus,1970-01-01 02:34:00,1970-01-03 02:54:00,True,4.0,Fixed,f,6.0,1,NZ,6.0
BellaIITag,BellaII,Felis catus,1970-01-01 02:43:00,1970-01-01 05:32:00,True,4.0,Fixed,f,19.0,1,NZ,8.0
SkittlesTag,Skittles,Felis catus,1970-01-01 02:35:00,1970-01-01 03:26:00,True,4.0,Fixed,f,5.0,1,NZ,2.0
BellaTag,Bella,Felis catus,1970-01-01 00:44:00,1970-01-01 17:25:00,False,4.0,Fixed,f,20.0,1,NZ,4.0
PennyTag,Penny,Felis catus,1970-01-01 02:05:00,1970-01-03 04:15:00,True,4.0,Fixed,f,10.0,1,NZ,1.0
NougieTag,Nougie,Felis catus,1970-01-01 02:04:00,1970-01-01 11:46:00,True,4.0,Fixed,f,10.0,1,NZ,12.0
IzzieTag,Izzie,Felis catus,1970-01-01 04:38:00,1970-01-01 19:55:00,False,4.0,Fixed,f,12.0,1,NZ,1.0
MokaTag,Moka,Felis catus,1970-01-01 18:56:00,1970-01-01 00:59:00,True,4.0,Fixed,f,12.0,1,NZ,4.0
SniferTag,Snifer,Felis catus,1970-01-01 13:36:00,1970-01-02 06:39:00,True,4.0,Fixed,f,13.0,1,NZ,5.0
JinglesTag,Jingles,Felis catus,1970-01-01 16:19:00,1970-01-01 03:25:00,True,4.0,Fixed,f,12.0,1,NZ,7.0
EllieTag,Ellie,Felis catus,1970-01-03 03:57:00,1970-01-01 01:14:00,True,4.0,Fixed,f,22.0,1,NZ,8.0
AshTag,Ash,Felis catus,1970-01-02 07:03:00,1970-01-02 00:57:00,True,4.0,Fixed,m,18.0,1,NZ,8.0
TigerTag,Tiger,Felis catus,1970-01-01 01:55:00,1970-01-01 04:57:00,True,4.0,Fixed,m,16.0,1,NZ,1.0
OllieTag,Ollie,Felis catus,1970-01-01 00:50:00,1970-01-02 04:10:00,True,4.0,Fixed,m,12.0,1,NZ,2.0
RogerTag,Roger,Felis catus,1970-01-01 03:44:00,1970-01-02 05:27:00,True,4.0,Fixed,m,16.0,1,NZ,0.2
RosieTag,Rosie,Felis catus,1970-01-03 01:18:00,1970-01-01 09:03:00,False,4.0,Fixed,f,16.0,1,NZ,0.2
McIvorTag,McIvor,Felis catus,1970-01-01 02:21:00,1970-01-01 22:27:00,False,4.0,Fixed,m,22.0,1,NZ,10.0
SpudTag,Spud,Felis catus,1970-01-01 03:37:00,1970-01-03 06:25:00,False,4.0,Fixed,f,8.0,1,NZ,10.0
